a.m,n.(缩)上午；午前
dam,n.水坝水堤障碍物vt.筑坝抑制(情感）等
damage,vt.损害毁坏n.(pl.)赔偿损坏毁坏损害
damn,vt.诅咒 n.诅咒；丝毫
damp,adj.潮湿的有湿气的n.毒气湿气丧气vt.呛抑制使潮湿vi.衰减
dance,"vi.跳舞摇晃雀跃vt.使跳跃使某人以跳舞的方式进入n.舞跳舞舞
蹈舞会舞步"
danger,n.危险危险事物
dangerous,adj.危险的不安全的引起危险的
dare,vt. &vi. &aux.v.敢竟敢敢于勇于面对n.敢挑战
daring,adj.大胆的勇敢的n.冒险精神
dark,adj.暗的黑色的n.黑暗暗处
darling,n.亲爱的人可爱的人可爱的物宠儿adj.可爱的亲爱的
dash,"vt.使猛撞猛掷泼溅冲撞匆忙溅vi.猛冲 猛撞n.猛冲冲撞破折号
少量短跑冲劲"
data,n.(datum的复数)数据资料
date,n.日期约会枣椰子vt.约会定...日期vi.追溯到n.
daughter,n.女儿adj.与女儿有关的女性直系后代的
dawn,n.黎明破晓开端vi.破晓逐渐明白
day,n.(一)天白昼白天
daylight,n.白昼日光黎明
dazzle,vt.&vi.炫耀；迷惑
dead,"adj.死的无生命的萧条的精疲力竭的用完的无趣的adv.完全地突
然地直接地n.死者死"
deadly,adj.致命的致死的死一般的adv.非常地如死一般地
deaf,adj.聋的不愿听的
deal,n.买卖待遇交易协定份量vt.(dealtdealt
dear,"adj.严重的珍贵的亲爱的昂贵的衷心的adv.高价地热爱地n.亲爱
的人可爱的人int.啊哎呀"
death,n.死死亡灭亡死神
debate,n. &vi.争论辩论商讨vt.争论思考
debt,n.债债务欠债负债状态义务罪过失
decade,n.十年十年期
decay,vi.腐烂衰败n.腐烂衰退
deceit,n.欺骗欺诈诡计不诚实
deceive,vt.欺骗蒙蔽行骗vi.行骗
December,n.十二月
decent,a.正派的；体面的
decide,vt. &vi.决定决心解决作出抉择
decimal,a.小数的，十进制的
decision,n.决定决心果断决策
decisive,a.决定性的；果断的
deck,n.甲板舱面层面桥面楼层vt.装饰
declaration,n.宣布，宣言；申诉
declare,vt. &vi.断言声明表明宣布申报
decline,vt.下倾；偏斜；衰退
decorate,vt.装饰装璜修饰授予某人奖章或其他奖状
decrease,vi. &n.减少减少
dedicate,vt.奉献；献身
deduce,vt.演绎推论推断溯源
deed,n.行为事迹功绩(尤指房产)契约证书vt.通过行为转化
deem,vt.认为，相信 vi.想
deep,adj.深的有...深的深奥的纵深的adv.深深地晚地n.深处
deepen,vt.加深使...加深使...强烈vi.深化加深变浓
deer,n.鹿
defeat,vt.战胜击败挫败n.败北失败
defect,n.缺点缺陷欠缺vi.背叛
defence,n.防御防务辩护答辩
defend,vt. &vi.防护辩护防卫保卫防守
deficiency,n.缺乏；不足之数
deficit,"n. 赤字,不足额"
define,vt.给...下定义限定解释
definite,adj.明确的肯定的一定的
definitely,adv.一定地明确地确切地
definition,n.定义释义定界阐释清晰度
defy,vt.向…挑战；蔑视
degenerate,"a.堕落的 vi.vt.(使)变质,(使)退化"
degrade,vt.使降给；使堕落
degree,n.程度度度数学位
delay,vt.推迟耽搁延误vi.耽搁n.耽搁迟滞
delegate,n.代表，委员，特派员
delegation,n.代表团委派
delete,vt.删除擦掉
deliberate,a.深思熟虑的；审慎的
delicate,"adj.纤细的易碎的精美的微妙的美味的脆弱的敏锐的n.精美的东
西"
delicious,adj.美味的可口的怡人的
delight,n.快乐快乐vt.使高兴vi.给与乐趣
deliver,vt.投递递送送交发表表达释放交付接生履行vi.达成
delivery,n.投递交付分娩
delta,n. 希腊字母表的第4个字母; 三角洲;
demand,vt.要求需要询问n.要求需求
democracy,n.民主民主制民主国家
democratic,adj.民主的民主政体的大众的平等的
demonstrate,vt.说明论证证明表露示范演示vi.示威
denial,n.否定；拒绝相信
denote,vt.指示，意味着
denounce,vt.谴责，声讨；告发
dense,adj.密集的浓厚的愚钝的不易看透的
density,n.密集稠密密度透明度
dentist,n.牙科医生
deny,vt.否定拒绝相信拒绝反对克制
depart,vi.离开起程出发死亡脱轨vt.离开
department,n.部司局处系部门省
departure,n.离开出发起程分歧
depend,vi.依靠依赖相信指望
dependent,adj.依靠的依赖的附属的悬垂的n.受经济援助者
depict,"vt. 描述,描写"
deposit,vt.使沉淀存放堆积vi.沉淀n.存款定金堆积物
depress,vt.使沮丧按下降低
depression,n.消沉；不景气萧条期
deprive,vt.夺去；使(人)失去
depth,n.深度深厚深处强度诚挚
depute,"vt. 指定代理人,委任"
derive,vt.取得得自起源引申于vi.起源
descend,vt. &vi.降传降临下来下降下倾
descendant,n.子孙，后裔；弟子
descent,n.下降；出身；斜坡
describe,vt.形容描写描绘描述画(尤指几何图形)
description,n.描写描述说明书作图形容种类
desert,"n.沙漠荒地应得(的惩罚或奖励)vt.离弃擅离遗弃vi.擅离职守
adj.沙漠的荒凉的"
deserve,vt.应受值得vi.应该得到
design,vt.设计想像计划vi.计划设计n.设计 图样
designate,vt.指出，指示；指定
desirable,"adj.值得相望的可取的值得有的令人满意的有吸引力的n.有吸引
力的人"
desire,vt.要求向往请求渴望n.愿望欲望情欲
desk,n.书桌办公桌
despair,n.绝望失望vi.绝望失望
despatch,vt.vi.n. 派遣
desperate,adj.拼死的绝望的不顾一切的极想得到的
despise,vt.鄙视，蔑视
despite,prep.不管尽管不顾v.憎恨轻视
destination,n.目的地终点目标景点
destined,"a. (由神、命运) 预定的,注定的"
destiny,"n. 命运,定数"
destroy,vt. &vi.破坏消灭打破
destruction,n.破坏毁灭消灭破坏者
destructive,a.破坏(性)的，危害的
detach,vt.分开；派遣(军队)
detail,"n.细节详情部分分派枝节零件vt.详述选派用小元素装饰vi.画细
节"
detect,vt.察觉发觉侦察发现探测信息vi.当侦探
detection,n.察觉发觉侦察探测
detective,n.侦探，密探
deteriorate,vt.vi. (使)恶化
determination,n.决心(正式)决定确定规定测定定位
determine,vt.决定查明决心
develop,vt.发展形成开发冲洗照片vi.进步
development,n.发展开发生长显影开发区
deviate,vt.(使)背离，偏离
device,n.器械装置设备设计策略
devil,n.魔鬼恶魔坏人难对付的东西困难小尘暴vt.加料惹恼
devise,vt.设计发明遗赠n.遗赠(的财产)
devote,vt.将...奉献致力于投入于献身
dew,n.露露水
diagnose,vt.诊断(疾病)
diagram,n.图解图表简图vt.用图解法表示
dial,"n.钟面拨号盘刻度盘针面转盘vt.拨用仪表测量操作仪表vi.拨号
用仪表测量"
dialect,n.方言土语地方话
dialog,n.对话对白(美)=dialogue
diameter,n.直径
diamond,"n.金钢石钻石菱形像钻石的物质纸牌的方块棒球内场vt.用钻石
装饰adj.60或75周年纪念的"
diary,n.日记日记簿
dictate,vt. &vi.口授命令听写n.命令指挥指令
dictation,n.口授笔录听写
dictionary,n.词典字典辞典
die,vi.死死亡灭亡n.金属模子印模骰子
diet,n.饮食，食物
differ,vi.不同(意见)相异不一致
difference,n.差别差分歧vt.引起区别
different,adj.差异的各种的不同的与众不同的
differentiate,"vt.vi. 区别,区分"
difficult,adj.困难的难对付的(人)难取悦的难相处的
difficulty,n.困难争议反对麻烦难事困境
diffuse,"vt.vi. 散播,传播 a. 散开的,弥漫的"
dig,vt.掘挖翻土采掘
digest,vt.消化领会理解vi.消化n.文摘摘要
digital,adj.数字的计数的手指的数码的电子的
dignity,a.尊贵；(举止)庄严
dilemma,"n. 困境,进退两难的局面"
diligent,adj.勤勉的勤奋的用功的
dilute,"vt. 冲淡,稀释 a. 淡的,稀释的"
dim,"adj.昏暗的暗淡的朦胧的模糊的笨的vt.使暗淡使失去光泽vi.变
暗n.车头灯的短焦距光"
dimension,n.尺寸尺度面积次元容积维度范围方面vt.标尺寸形成...尺寸
diminish,vt.减少，减小，递减
dine,vi.吃饭 vt.宴请
dinner,n.正餐主餐宴会晚宴
dip,"vt.浸蘸给...洗药浴vi.浸一浸下降向下倾斜翻阅提取(款项)n.
游下降减少低洼处调味酱药浴液"
diploma,n.毕业文凭，学位证书
diplomatic,a.外交的；有策略的
direct,adj.直接的直率的笔直的坦白的vt.指挥命令负责vi.指导指出
direction,n.方向方位指导用法说明趋势
directly,adv.直接地立即完全
director,n.指导者理事董事经理主管导演
directory,n.姓名地址录；董事会
dirt,n.尘土污物污垢泥土污秽的言行卑鄙的人堕落矿渣
dirty,"adj.脏的下流的肮脏的色情的卑鄙的adv.卑鄙地vt.使...变脏
vi.弄脏"
disable,vt.使无能，使伤残
disadvantage,n.不利不利地位不利条件损害损失
disagree,vi.有分歧不一致不适应不适宜
disappear,vi.不见失踪消失灭绝vt.引起消失
disappoint,vt. &vi.使失望使受挫折
disaster,n.灾难灾祸天灾
disastrous,a.灾难性的；悲惨的
discard,vt.丢弃抛弃遗弃vi.丢牌n.丢牌废牌
discern,vt.看出，辨出；辨别
discharge,"vt. vi.释放排出放出解雇解除放电清偿债务n.释放卸货放电一
股一阵开火发射准许离开"
discipline,n.纪律训练惩罚学科vt.训练 惩罚
disclose,vt.揭开，揭发；透露
discount,n.折扣；打折扣卖
discourage,vt.使泄气使灰心阻碍
discover,vt. &vi.发现暴露显示
discovery,n.发现被发现的事物
discrepancy,"n. 相差,差异,差别"
discrete,"a. 不连续的, 离散的"
discriminate,vt.vi. 区别对待，歧视
discuss,vt.讨论谈论论述
discussion,n.讨论谈论辩论论述
disease,n.病疾病病害弊端
disguise,vi.隐瞒掩埋vt.假装假扮掩饰n.假装假面目伪装物
disgust,n.厌恶憎恶嫌恶vt. &vi.令人厌恶
dish,n.碟盘子菜肴凹形vt.装盘提出揭露挖空vi.闲谈
dishonour,n.不光彩丢脸的人耻辱拒付vt.使丢脸侮辱拒付=dishonor
disk,n.圆盘唱片磁盘光盘花盘盘形物磁盘vt.用圆盘耙耙地
dislike,vt. &n.不喜爱厌恶反感
dismay,n.惊慌，沮丧，灰心
dismiss,vt.不再考虑解雇解散开除逃避(法律)驳回
disorder,n.混乱杂乱骚乱vt.扰乱
dispatch,vt.派遣；调度 n.急件
disperse,vt.(使)分散；驱散
displace,vt.移置；取代；置换
display,vt.陈列展览显示炫耀vt.显示表现夸示
displease,vt.使不愉快使生气
disposal,n.丢掉处理销毁菜碾碎器
dispose,vi.去掉丢掉销毁vt.倾向于处置
disposition,"n. 性情,处置,处理,布置"
dispute,vi.争论争执vt.争论质疑争夺抵抗n.争论争吵
disregard,vt.不管，不顾 n.不管
disrupt,"a.分裂的,分散的 vt.使分裂,瓦解"
dissatisfy,vi.使不满使不平
dissipate,vt.驱散；浪费vi.消散
dissolve,"vt.使溶解解散消除解决(问题)使沮丧vi.消散溶解解散液化变得
模糊n.叠化画面"
distance,"n. 距离间距远处(人际关系的) 疏远vt. 使疏远把(对手) 甩在
后面与...保持距离adj.  ( 通过电子手段) 远程( 教育)"
distant,adj.在远处的疏远的疏远的远房的陌生的远行的
distil,"v. 蒸馏, 提取....的精华"
distinct,adj.与其他不同的不同的明显的(from)独特的清楚的
distinction,n.差别不同区分对比杰出
distinguish,vt.区别辨别认别特别关注vi.区别
distort,vt.歪曲，曲解，扭曲
distract,vt.分散(心思)；打扰
distress,"n.忧虑悲伤不幸苦恼贫困忧郁恶化扣押财物vt.使...苦恼仿造
adj.亏本出售的"
distribute,vt. &vi.分发分送分布分配
distribution,n.分发分配分布散布
district,n.区地区区域行政区vt.划分区域划分地区
disturb,vt. &vi.打扰扰乱弄乱妨碍使...不安
disturbance,n.动乱；干扰；侵犯
ditch,"n.沟沟渠渠道vt.坠入沟中摆脱飞机(在海上)迫降vi.挖一条沟渠
飞机紧急降落"
dive,vi.跳水潜水俯冲vt.跳水俯冲vi.把...伸入
diverse,adj.不一样的相异的不同的多种多样的
diversion,n.转移；改道；娱乐
divert,vt.使转向 vi.转移
divide,vt.分分配分开(组)vi.除分开
divine,a.神的；敬神的
division,n.分分配除法划分分开部门师(军队)
divorce,n.离婚离异vi.离婚与...办离婚
dizzy,a.头晕眼花的，眩晕的
do,aux.v.vt. &vi.做干办
dock,"n.船坞码头(造)修船厂尾巴的骨肉部分被告席vt.进港(减)剪短
对接vi.进港对接"
doctor,n.医生医师博士vt.医治篡改对...做手脚vi.用药
doctrine,n.教义，主义；学说
document,n.公文文件证件
dog,n.狗犬犬科动物卑鄙的人vt.尾随跟踪
dollar,n.美元(货币单位)
domain,"n. 领域,领土,产业,范围"
dome,n.圆屋顶，拱顶
domestic,adj.本国的国内的家庭的驯养的n.家仆佣人
dominant,a.统治的 n.主因
dominate,vt.统治，支配，控制
donate,vt.vi. 捐赠
donkey,n.驴笨蛋
doom,n.命运，毁灭 vt.注定
door,n.门通道一家
dorm,n.(集体)宿舍
dormitory,n.集体寝室宿舍
dose,n.剂量用量一剂vt.配
dot,n.点圆点少量小东西vt.作小点记号点缀vi.作小点记号
double,"adj.两倍的复制品替身双重角色的演员反转双的双人房adj.两倍
的双重的骗人的加量的adv.两倍地双人地翻来覆去地对折地vt.
使加倍对折握紧做替身vi.加倍转身兼任替代演出"
doubt,n.怀疑疑虑不信任vt.怀疑不信任vi.不确定
doubtful,adj.难以预测的怀疑的疑心的不确定的
doubtless,adv.无疑地很可能确定地adj.无疑的确定的
down,"adv.向下在下面下跌在南方adj.向下的降低的情绪低落停止运行
n.绒毛汗毛轻视prep.沿着...而下"
downstairs,adv.在楼下向楼下adj.楼下的n.楼下
downward,adj.向下的adv.向下地
dozen,n.一打十二个adj.一打的十二个的
draft,n.草稿草图汇票徵兵vt.起草征兵选秀adj.酝酿中的
drag,"vt.拖拉拖曳拖累拖拉(动)vi.拖拉(动) 缓慢地行走n.用来拖拉
的东西拖拖累"
dragon,n.龙凶暴的人严厉的人
drain,"vt.排去放水耗尽排出排干喝光vi.变干排出排水n.下水道排水沟
消耗耗竭"
drainage,n.排水；下水道
drama,n.一出戏剧剧本戏剧戏剧性情节刺激
dramatic,adj.引人注目的戏剧的给人深刻印象的n.(pl.)戏剧作品戏曲
dramatization,n.编剧改编成戏剧
drastic,a.激烈的；严厉的
draw,"vt.(drewdrawn) 拉拖挨近提取画绘制划拨出n.平局抽签拉拽吸
引人的事物"
drawback,n.退款；妨碍；弊端
drawer,n.抽屉
drawing,n.图画素描绘图绘图技巧
dread,n.畏惧恐怖可怕的人可怕的事vt.惧怕恐惧adj.可怕的可怖的
dreadfu,a.可怕的；令人敬畏的
dream,n.梦梦想vt. &vi.做梦想象
dress,n.女服童装服装vt. &vi.穿著adj.正式的(衣服)
drift,"vi.漂流漂泊吹积n.漂流漂移漂流物观望吹积物趋势vt.使漂流
把...吹积"
drill,n.钻头钻孔机钻子播种机操练vi.钻孔vt.训练钻孔
drink,vt. &vi.饮喝喝酒n.饮料
drip,vi.滴下漏水n.水滴滴点滴乏味的人
drive,"vt. &vi.驾驶驱驱使驾进力打入n.驾车快车道推进力驱使路街,
驱动器"
driver,n.驾驶员司机
drop,vt.使落下降低减少vi.落下减少减弱n.滴微量落下
drought,n.旱灾，干旱
drown,vi.淹死溺死vt.淹死沉浸于
drug,n.药药物药材毒品vt.下药使...服麻醉药vi.吸毒
drum,"n.鼓鼓声鼓状物圆桶冰丘vi.击鼓作鼓声引起兴趣vt.召集入伍逐
出(经过努力)推动...连续击打"
drunk,adj.醉的陶醉的vbl.喝喝酒
dry,"adj.干的干燥的干旱的不行于色的枯燥无味的无酒的口渴的vt.
把...弄干vi.(使)变干"
dual,"a. 双重的,双的 n. 双数"
dubious,"a. 可疑的,不确定的"
duck,"n.鸭雌鸭鸭肉板球零分vt.把…按入水中低头弯身(以免被打中或
看见)躲避vi.迅速行进飞快行走(以免被看见)推委责任"
due,adj.预期的应给的到期的应有的预定的n.应得物
dull,"adj.枯燥的不鲜明的呆滞的迟钝的无趣的钝的暗的vt.使变钝vi.
变钝"
dumb,adj.哑的无言的沉默的愚蠢的vt.使人沉默
dump,vt.倾卸倾倒倾销丢弃抛售导出vi.骤降扔垃圾n.垃圾场堆放处
duplicate,n.复制品 vt.复制
durable,adj.耐久的耐用的n.(复)耐用品
duration,n.持续持久持续时间期间
during,prep.在...期间
dusk,"n.薄暮黄昏幽暗vi.(天)变黑变暗vt.把…变黑变暗adj.颜色暗沉
的昏暗的"
dust,"n.尘土灰尘无价值之物屈辱状态vt.拂去灰尘撒上粉状物体大胜
vi.擦拭灰尘"
duty,n.职责责任义务税adj.值班的作为一种义务的
dwell,n.居住 vi.凝思，细想
dwelling,n.住处寓所
dye,vt.染vi.染色n.染料染色
dying,adj.垂死的临终的n.死死亡
dynamic,adj.有活力的动态的(有)动力的(有)力的n.动力力学
each,pron.各各自adj.每个每每一adv.每个int.每个个人个自
eager,adj.渴望的热切的
eagle,n.鹰vt.(高尔夫)鹰击
ear,n.耳朵听力听觉倾听麦穗vi.长出麦穗
early,adv.早adj.早的早期的
earn,vt.赚得挣得获得赚得赢得生利
earnest,adj.认真的诚恳的重要的n.真诚重要的东西定金保证
earnings,n.工资，收入；收益
earth,"n.地球陆地地面泥土世间大地地球人vt.赶入洞中提取土壤vi.躲
入洞穴"
earthquake,n.地震大震荡
ease,"n.容易舒适安乐n.安逸悠闲vt.缓和使...安乐使...安心v.减轻
放松"
easily,adv.容易地舒适的无疑地
east,n.东东部adv.在东方向东方adj.东方的
easter,n. 复活节
eastern,adj.东部的东方的朝东的
easy,adj.容易的安逸的不费力的adv.慢慢地当心地
eat,vt.吃喝消耗vi.吃饭侵蚀n.食物
eccentric,"n.怪人,偏心圆 a.古怪的,不同圆心的"
echo,"n. 回声回音回波反响共鸣vi. 重复发回声回响仿效vi. 回响回
荡n.[计算机]DOS命令：禁止(或允许)批处理命令行显示屏幕上"
eclipse,n.(日，月)食
ecology,n.生态学；个体生态学
economic,adj.经济的经济学的有利可图的n.
economical,adj.节约的节俭的经济的合算的经济学的
economics,n.经济学；经济
economy,n.经济节约节省adj.经济型的
edge,n.边缘边刀口vt.给...加上边缓慢横过使逐渐丧失vi.徐徐前进
edible,"a. 可食用的 n. 食品,食物"
edit,vt.编辑，编纂；校订
edition,n.版版本版次
editor,n.编辑编者校订者
editorial,n.社论，期刊的社论
educate,vt.教育培养训练
education,n.教育培养训导教育学
effect,n.结果效果效力影响要旨vt.招致引起实现达到n.(pl.)财产动产
effective,adj.有效的有影响的
efficiency,n.效率功效效能
efficient,adj.效率高的有能力的胜任的
effort,n.努力努力的成果
egg,n.蛋鸡蛋卵(俚语)人
ego,n. 自我
eight,num.八八个第八
eighteen,num.十八十八个
eighth,num.第八n.八分之一
eighty,num.八十八十个
either,pron.(两者)任何一个adj.任一两方的adv.也conj.或也
eject,vt.逐出，排斥；喷射
elaborate,"adj.复杂的精心制作的精细的详尽的精心的v.详细地说明用心地
作推敲"
elapse,vi.(时间)过去，消逝
elastic,n.橡皮圈有松紧的东西松紧带adj.有弹性的灵活的可变的
elbow,n.肘肘部弯管急弯扶手v.用手肘推开推挤
elder,adj.年龄较大的年长的n.长者长辈
elderly,"a. 过了中年的,稍老的"
elect,"vt.选举推选选择n.当选人被选的人上帝的选民adj.被选的选出
的"
election,n.选举选择权当选
electric,adj.电的电动的令人激动的鲜亮的n.供电
electrical,adj.电的电气科学的与电有关的
electrician,n.电工，电气技师
electricity,n.电电学电流
electron,n.电子
electronic,a.电子的
electronics,n.电子学
elegant,a.(举止、服饰)雅致的
element,n.成分要素元素基本原理(复数)恶劣天气
elementary,adj.基本的初级的元素的
elephant,n.象庞大笨拙难处理的事物
elevate,vt.提高(思想)；抬高
elevator,n.电梯升降机飞机升降舵斗式皮带输送机
eleven,num.十一十一个
eleventh,num.第十一(个)
elicit,"vt. 引出,抽出,引起"
eligible,"n. 有资格者,合格者 a.有资格的"
eliminate,vt.消灭消除排除除去剔除忽略
elimination,n.消灭排除除去消除
elite,"n. 精华,精锐,中坚分子"
eloquent,"a. 雄辩的,有口才的,动人的"
else,adv.其它另外否则adj.别的其他的
elsewhere,ad.在别处向别处
embark,"vi. 乘船,着手,从事,上飞机"
embarrass,vt.使窘迫使为难阻碍vi.变得困窘
embassy,n.大使馆；大使的职务
embed,"vt. 使插入,使嵌入"
embody,vt.体现；包含，收录
embrace,vt.拥抱包括包围信奉包含n.拥抱
emerge,vi.出现涌现冒出(由某种状态)脱出(事实)显现出来
emergency,n.紧急情况突然事件
emit,vt.散发发射发表发出放射吐露
emotion,n.情感感情情绪激动
emotional,adj.感情的情绪的
emperor,n.皇帝
emphasis,n.强调重点重要性
emphasize,强调着重
empire,n.帝国
empirical,a.经验主义的
employ,vi.雇用使用使忙于
employee,n.受雇者雇员雇工
employer,n.雇佣者雇主
employment,n.工业雇用使用职业
empty,a.空的空洞的
enable,vt.使能够使可能
enclose,vt.围住圈起附上放入封套
enclosure,n.围绕；围场，围栏
encounter,vt. &vi.遭遇遇到偶然碰到n.遭遇意外的相见
encourage,vt.鼓励支持助长激励支持
end,n.末端目标结束终点vt. &vi.结束终结adj.最终的
endeavor,vi.&n.努力，尽力
ending,n.结尾结局死亡
endless,adj.无止境的没完没了的
endow,vt.资助；赋予，授予
endurance,n.耐久力，持久力
endure,vt.忍受容忍vi.持久持续
enemy,n.敌人仇敌敌兵敌对势力有害物
energetic,a.积极的；精力旺盛的
energy,n.活力精力能力能能量
enforce,vt.实施执行强制强迫加强
engage,vt.使从事于聘用答应预定使忙碌订婚
engagement,n.婚约；约会，债务
engine,n.发动机引擎机车火车头vt.装引擎
engineer,n.工程师技师机械师vt.操纵设计建造
engineering,n.工程工程学
England,n.英格兰英国
English,"n.英语adj.英国人的英国的英语的vt.译成英语把...(外来语言)
加到英语中 Englishman"
enhance,vt.提高，增加；夸张
enjoy,vt. &vi.享受欣赏喜爱
enlarge,vt.扩大扩展增大放大
enlighten,vt.启发，开导；启蒙
enormous,adj.巨大的庞大的
enough,adj.足够的adv.足够地完全地pron.足够受够
enrich,vt.使富裕；使丰富
enroll,vt.登记，招收vi.参军
ensue,"vt. 追求 vi. 跟着发生,继起"
ensure,vt.保证保护赋予
entail,"vt. 使必需,使承担"
enter,"vt.走进进入参加报名开始加入报价提出vi.进入参加开始上台进
入角色"
enterprise,n.企业，事业心
entertain,vt. &vi.使欢乐招待怀抱
entertainment,"n.娱乐,款待,娱乐表演"
enthusiasm,n.热情热心热忱热衷的事物
enthusiastic,a.热情的，热心的
entire,adj.全部的整个的完整的同性质的纯正的全面的
entitle,vt.给...权利(或资格)取名为使有权利
entity,"n. 实体,实存物,存在"
entrance,n.入口门口进入登场vt.使神志恍惚
entrepreneur,"n. 企业家,主办人"
entry,n.入口处登记进入入口项目
envelope,n.信封封套封皮壳层
environment,n.环境外界围绕
envisage,"vt. 面对,正视,想象"
envy,vt. &vi. &n.妒忌嫉妒羡慕
episode,n.一段情节；插曲
epoch,n.(新)时代；历元
equal,adj.相等的平等的胜任的n.对手匹敌同辈vt.等于比得上
equality,n.等同平等相等
equation,n.方程(式)等式均衡相等
equator,n.赤道，天球赤道
equilibrium,n.平衡，均衡；均衡论
equip,vt.装备配备设穿…
equipment,n.装备设备配备
equivalent,adj.相等的等量的n.相等物
era,n.时代年代纪元
erect,vt.建造建立使竖立adj.直立的竖立的笔直的
erosion,n.腐蚀，侵蚀；糜烂
erroneous,"a. 错误的,不正确的"
error,n.错误谬误差错
erupt,vi. 爆发 vt. 喷出
escape,vt. &vi.逃跑逃脱避开逸出n.逃跑逃亡避难设备adj.逃避的
escort,n.&vt.护卫，护送
esp.,adj.(=especial)特别的特殊的尤其adv.(=especially)特别特殊
especially,adv.特别尤其格外
essay,n.短文散文论文小品文尝试vt.尝试
essence,n.本质，本体；精华
essential,adj.必要的重要的本质的n.要素要点
establish,vt.建立设立确立创办
establishment,n.建立设立确立设施机构权威
estate,n. 房地产；财产，产业
esthetic,a. 审美的
estimate,vt.估计估价评价n.估计估价
etc.,n.附加的人附加物以及其它等等=etcetera
eternal,n.永久的；不朽的
ethics,n. 道德规范
ethnic,a.民族特有的
Europe,n.欧洲
European,adj.欧洲的n.欧洲人
evaluate,vt.评估评价估...的价
evaporate,vt.使蒸发vi.蒸发失去水分消失
eve,n.前夜前夕前一刻
Eve,夏娃
even,"adv.甚至甚至更还恰好正当adj.平坦的偶数的相等的均匀的v.使
平坦相等"
evening,n.傍晚黄昏晚上
event,n.事件大事事变项目活动
eventually,adv.终于最后
ever,adv.在任何时候曾经永远究竟
every,adj.每一的每隔...的
everybody,pron.每人人人各人
everyday,adj.每天的日常的平常的
everyone,pron.每人人人n.每个人
everything,pron.每件事事事一切
everywhere,adv.到处处处无论何处
evidence,n.根据证据证人vt. &vi.证实证明
evident,adj.明显的明白的
evil,n.邪恶罪恶祸害adj.邪恶的坏的
evoke,"vt. 唤起,引起"
evolution,n.进化演化发展
evolve,vt. &vi.使进化使发展展开
exact,adj.确切的精确的vt.强求要求索取
exactly,adv.确切地恰恰正是
exaggerate,vt. &vi.夸大夸张
exam,n.考试检查细查=examination 考试
examination,n.考试检查细查审讯
examine,vt.检查仔细观察调查考试vi.调查
example,n.例子实例模范榜样vt.把...作为例子
exceed,vt.超过胜过超出超出界限vi.领先
exceedingly,adv.极端地非常很
excellent,adj.优秀的杰出的
except,prep. &conj.除了...之外若不是除非vt.除除外
exception,n.例外除外
exceptional,a.例外的；优越的
excess,n.超越过量过度adj.过量的额外的
excessive,adj.过多的过分的极度的
exchange,vt. &vi.交换交流交易兑换n.交换交换物汇兑交易所
excite,vt.使激动引起刺激激励
exciting,adj.令人兴奋的
exclaim,vi.呼喊惊叫大声叫
exclude,vt.把...排除在外拒绝
exclusive,a.排外的；孤傲的
exclusively,adv.专门地排他地(独占地专门地仅仅只)
excursion,n.远足短途旅行
excuse,vt.原谅免除辩解准许离开同意赦免n.借口理由低劣的样品假条
execute,vt.将...处死实施执行完成
execution,n.实行，执行；处死刑
executive,"adj.执行的行政的决策的经营的,执行指令n.执行者主管行政部
门"
exemplify,vt.举例证明(解释)
exempt,"a. 免除的 vt. 使免除,豁免"
exercise,n.锻炼训练练习作业运动vi.练习锻炼vt.运用
exert,vt.尽(力)运用施加(压力影响等)
exhaust,vt.使筋疲力尽用尽排空vi.耗尽n.排气排气装置
exhibit,"vt.显示(感情或品质)陈列展览展现提出证据vi.展览n.展览品展
览物证"
exhibition,n.展览陈列展示展览会
exile,vt.流放 n.被流放者
exist,vi.存在生存生活
existence,n.存在实在生存
exit,n.出口退场离去vi.退出死亡vt.离开
exotic,"a.异国的,外来的n.外来物,舶来品"
expand,vt.扩大增加详述扩展使膨胀vi.扩展增加详述
expansion,n.扩大扩充扩张膨胀
expect,vt.预料预期等待盼望
expectation,n.期待期望预期
expedition,n.探险；探险队
expel,vt.驱逐，开除；排出
expend,"vt. 花费,消耗,支出"
expenditure,n.(时间等)支出，消费
expense,n.花费消费费用代价
expensive,adj.昂贵的花钱多的豪华的
experience,n.经验感受经历vt.经历体验
experiment,n.实验试验尝试vi.做实验尝试
experimental,adj实验(性)的试验(性)的
expert,n.专家能手adj.熟练的内行的vi.当专家
expertise,"n. 专家的意见,专门技术"
expire,vi.满期，到期；断气
explain,vt. &vi.解释说明为...辩解
explanation,n.解释说明辩解
explicit,a.明晰的；直率的
explode,vt.使爆炸驳倒vi.爆炸爆发(感情)激增
exploit,vt. &vi.剥削利用开拓开发n.功绩勋绩
explore,vt. &vi.探险探索探测探究
explosion,n.爆炸爆发炸裂激增
explosive,n.炸药adj.爆炸(性)的
export,vt.输出出口运走n.出口输出品vi.传播输出adj.出口的
expose,vt.使暴露揭露揭穿使遭受(危险或不快)
exposition,n.说明，解释；陈列
exposure,n.暴露揭露显露曝光面临(困难)
express,"vt.表达表示挤压出快递n.快车快递专使adj.急速的明确的直接
的adv.用快递特意地"
expression,n.词句措辞表达表示表现表情
exquisite,"a. 精致的,细腻的,敏锐的"
extend,vt.延长延伸伸展扩大扩充扩展致
extension,n.延长部分伸展扩充范围分机号码
extensive,adj.广阔的广泛的
